area_flag,median_household_income_est,restaurant_count
M1,48303,49
M2,53542,19
M1,65689,62
M1,77514,67
M1,61283,66
M1,80196,184
M1,55097,19
M1,62355,315
M1,83985,535
M1,114696,564
M1,130865,283
M1,77265,46
M2,60653,18
M1,89269,31
M1,61298,20
M1,75653,67
M1,87828,75
M1,60371,66
M1,54304,88
M2,43399,17
M1,94027,467
M1,59782,22
M1,48698,20
M2,48204,13
M2,57741,32
M2,53511,11
M1,60706,18
M2,44987,21
M2,63983,8
M1,57476,20
M2,38897,24
M1,47447,79
M1,48484,25
M1,60132,32
M1,65566,39
M2,48895,10
M1,53471,60
M1,55339,76
M1,59646,91
M1,62205,41
M1,62346,81
M1,47034,91
M1,50128,25
M1,66076,27
M1,63595,23
M1,50425,27
M1,66417,539
M1,60706,17
M2,50436,10
M1,57844,26
M2,56358,13
M2,41272,13
M1,68997,126
M1,49263,25
M2,47349,7
M1,61213,111
M2,50147,21
M1,52729,67
M1,57906,419
M1,50129,48
M1,51544,34
M1,60287,10
M1,53563,150
M1,59567,43
M2,81195,16
M2,61637,26
M1,79492,35
M2,68818,9
M1,56169,149
M2,57642,22
M1,57859,144
M2,48831,40
M1,49721,47
M1,56667,13
M1,59584,35
M2,51744,13
M1,87470,115
M1,57778,44
M1,43787,34
M1,86652,94
M1,56627,13
M1,54587,19
M1,69329,386
M1,57692,69
M1,50368,40
M1,61285,9
M1,61936,37
M2,64099,14
M1,105659,806
M1,63131,31
M2,71708,15
M1,53917,19
M1,65094,28
M1,49510,20
M1,60532,12
M1,50440,31
M2,63549,22
M1,52233,25
M1,59779,143
M1,53881,15
M1,57667,50
M2,38830,15
M1,76583,26
M1,52322,120
M2,56278,14
M2,57458,15
M1,76348,115
M1,56233,36
M1,69172,58
M1,48558,110
M1,61307,23
M1,46419,33
M2,51844,19
